Name,Platform,Version
2023-10-10T16:23:58,gcc-12,amd64,12.3.0-1ubuntu1~22.04
2023-10-10T16:23:58,gcc-12-base,amd64,12.3.0-1ubuntu1~22.04
2023-10-10T16:23:58,gcc-12-base,i386,12.3.0-1ubuntu1~22.04
2023-10-10T16:23:58,gcc-9,amd64,9.5.0-1ubuntu1~22.04
2023-10-10T16:23:58,gcc-9-base,amd64,9.5.0-1ubuntu1~22.04
2023-10-10T16:23:58,gcr,amd64,3.40.0-4
2023-10-10T16:23:58,gdal-data,all,3.4.1+dfsg-1build4
2023-10-10T16:23:58,gdb,amd64,12.1-0ubuntu1~22.04
2023-10-10T16:23:58,gdisk,amd64,1.0.8-4build1
2023-10-10T16:23:58,gdm3,amd64,42.0-1ubuntu7.22.04.3
2023-10-10T16:23:58,gedit,amd64,41.0-3
2023-10-10T16:23:58,gedit-common,all,41.0-3
2023-10-10T16:23:58,geoclue-2.0,amd64,2.5.7-3ubuntu3
2023-10-10T16:23:58,gettext-base,amd64,0.21-4ubuntu4
2023-10-10T16:23:58,ghostscript,amd64,9.55.0~dfsg1-0ubuntu5.4
2023-10-10T16:23:58,ghostscript-x,amd64,9.55.0~dfsg1-0ubuntu5.4
2023-10-10T16:23:58,gimp,amd64,2.10.30-1build1
2023-10-10T16:23:58,gimp-data,all,2.10.30-1build1
2023-10-10T16:23:58,gimp-help-common,all,2.10.0-1
2023-10-10T16:23:58,gimp-help-en,all,2.10.0-1
2023-10-10T16:23:58,gir1.2-accountsservice-1.0,amd64,22.07.5-2ubuntu1.4
2023-10-10T16:23:58,gir1.2-adw-1,amd64,1.1.7-0ubuntu0.22.04.1
2023-10-10T16:23:58,gir1.2-atk-1.0,amd64,2.36.0-3build1
2023-10-10T16:23:58,gir1.2-atspi-2.0,amd64,2.44.0-3
2023-10-10T16:23:58,gir1.2-freedesktop,amd64,1.72.0-1
2023-10-10T16:23:58,gir1.2-gck-1,amd64,3.40.0-4
2023-10-10T16:23:58,gir1.2-gcr-3,amd64,3.40.0-4
2023-10-10T16:23:58,gir1.2-gdesktopenums-3.0,amd64,42.0-1ubuntu1
2023-10-10T16:23:58,gir1.2-gdkpixbuf-2.0,amd64,2.42.8+dfsg-1ubuntu0.2
2023-10-10T16:23:58,gir1.2-gdm-1.0,amd64,42.0-1ubuntu7.22.04.3
2023-10-10T16:23:58,gir1.2-geoclue-2.0,amd64,2.5.7-3ubuntu3
2023-10-10T16:23:58,gir1.2-glib-2.0,amd64,1.72.0-1
2023-10-10T16:23:58,gir1.2-gmenu-3.0,amd64,3.36.0-1ubuntu3
2023-10-10T16:23:58,gir1.2-gnomebluetooth-3.0,amd64,42.0-5
2023-10-10T16:23:58,gir1.2-gnomedesktop-3.0,amd64,42.9-0ubuntu1
2023-10-10T16:23:58,gir1.2-goa-1.0,amd64,3.44.0-1ubuntu1
2023-10-10T16:23:58,gir1.2-graphene-1.0,amd64,1.10.8-1
2023-10-10T16:23:58,gir1.2-gstreamer-1.0,amd64,1.20.3-0ubuntu1
2023-10-10T16:23:58,gir1.2-gtk-3.0,amd64,3.24.33-1ubuntu2
2023-10-10T16:23:58,gir1.2-gtk-4.0,amd64,4.6.9+ds-0ubuntu0.22.04.1
2023-10-10T16:23:58,gir1.2-gtksource-4,amd64,4.8.3-1
2023-10-10T16:23:58,gir1.2-gweather-3.0,amd64,40.0-5build1
